0,1,2,3,4,5,6,7
foe rent 2 bedrooms apartment in Lashibi,"Beds: 2, Baths: 3",MEMBER,"Accra, Apartments","GH₵ 1,800 /month",".top-ad-badge_svg__st1,.top-ad-badge_svg__st2,.top-ad-badge_svg__st8{fill-rule:evenodd;clip-rule:evenodd;fill:#4780b2}.top-ad-badge_svg__st2,.top-ad-badge_svg__st8{fill:#3b566e}.top-ad-badge_svg__st8{fill:#666}.top-ad-badge_svg__st9{opacity:.12}", ,TOP AD
Single room s/c spintex,"Beds: 1, Baths: 1",MEMBER,"Accra, Apartments",GH₵ 500 /month,".top-ad-badge_svg__st1,.top-ad-badge_svg__st2,.top-ad-badge_svg__st8{fill-rule:evenodd;clip-rule:evenodd;fill:#4780b2}.top-ad-badge_svg__st2,.top-ad-badge_svg__st8{fill:#3b566e}.top-ad-badge_svg__st8{fill:#666}.top-ad-badge_svg__st9{opacity:.12}", ,TOP AD
CHAMBER& HALL SELFCONTAIN @MANHEAN 44 JUNCTION,"Beds: 1, Baths: 1","Accra, Apartments",GH₵ 300 /month,,,,
Awesome Singleroom Selfcontain For Rent In Nungua,"Beds: 1, Baths: 1",MEMBER,"Accra, Apartments",GH₵ 230 /month,24 minutes,,
TWO BEDRMS SELF CONTAIN APARTMENT@ MADINA ACTION SCHOOL,"Beds: 2, Baths: 2",MEMBER,"Accra, Apartments","GH₵ 1,000 /month",25 minutes,,
EXEC 3 BEDROOM APT @ MALLAM 4 RENT,"Beds: 3, Baths: 1",MEMBER,"Accra, Apartments","GH₵ 1,000 /month",27 minutes,,
2bedroom apt@Achimota,"Beds: 2, Baths: 1",MEMBER,"Accra, Apartments","GH₵ 1,100 /month",28 minutes,,
EXEC CHAMBER & HALL APT @ GBAWE CP,"Beds: 1, Baths: 1",MEMBER,"Accra, Apartments",GH₵ 550 /month,28 minutes,,
Melodious 2bedrm semi detach self contained 4rent Spintex,"Beds: 2, Baths: 1",MEMBER,"Accra, Apartments",GH₵ 800 /month,35 minutes,,
chembar and hall self contained pillar 2,"Beds: 1, Baths: 1",MEMBER,"Accra, Apartments",GH₵ 600 /month,36 minutes,,
Chamber and hall salf contain for rent East legon,"Beds: 2, Baths: 1",MEMBER,"Accra, Apartments","GH₵ 2,000 /month",37 minutes,,
Superb wall and gated single room selfcontain 4rent Spintex,"Beds: 1, Baths: 1",MEMBER,"Accra, Apartments",GH₵ 350 /month,37 minutes,,
Mindblowing 2bedroom Apartment With 3bath 4rent Com.23 New Trasacco 1yr,"Beds: 2, Baths: 3",MEMBER,"Accra, Apartments","GH₵ 1,000 /month",1 hour,,
Stupendous new 3bedrm 3washrm selfcompound 4rent Spintex,"Beds: 3, Baths: 3",MEMBER,"Accra, Apartments","GH₵ 2,500 /month",1 hour,,
Classic 2bedroom Apartment + 3washrooms 4rent Spintex 1year,"Beds: 2, Baths: 3",MEMBER,"Accra, Apartments","GH₵ 1,250 /month",1 hour,,
Gated Singleroom Self Contained For Rent Spintex 1year,"Beds: 1, Baths: 1",MEMBER,"Accra, Apartments",GH₵ 350 /month,1 hour,,
Well Located Chamber And Hall Self Cont.Spintex,"Beds: 1, Baths: 1",MEMBER,"Accra, Apartments",GH₵ 600 /month,1 hour,,
New Singleroom Apartment With Just 2people 4rent Spintex,"Beds: 1, Baths: 1",MEMBER,"Accra, Apartments",GH₵ 500 /month,1 hour,,
Adorable Singleroom Self Contained Spintex 1year,"Beds: 1, Baths: 1",MEMBER,"Accra, Apartments",GH₵ 350 /month,1 hour,,
Gated Chamber And Hall Self Contained Spintex,"Beds: 1, Baths: 1",MEMBER,"Accra, Apartments",GH₵ 400 /month,1 hour,,
Extravagant modern new wal n gated chamba Hal selfcontain Spintex,"Beds: 1, Baths: 1",MEMBER,"Accra, Apartments",GH₵ 800 /month,1 hour,,
3 bedrooms ensuite apartment at Ahinsan Estate for one year,"Beds: 3, Baths: 3",MEMBER,"Kumasi, Apartments","GH₵ 1,500 /month",1 hour,,
nice two bedrooms apartment @ Dansoman,"Beds: 2, Baths: 1",MEMBER,"Accra, Apartments",GH₵ 650 /month,1 hour,,
Chamber & Hall self contain East Legon,"Beds: 1, Baths: 1",MEMBER,"Accra, Apartments",GH₵ 500 /month,1 hour,,
nice 2bedrooms apartment @Dansoman,"Beds: 2, Baths: 2",MEMBER,"Accra, Apartments",GH₵ 750 /month,1 hour,,
TANTALIZING 2 MASTER BEDROOMS APARTMENT AT ATOMIC,"Beds: 2, Baths: 3",MEMBER,"Accra, Apartments","GH₵ 1,100 /month",1 hour,,
Executive 2 bedrooms apartment at Adjiringannor,"Beds: 2, Baths: 2",MEMBER,"Accra, Apartments","GH₵ 3,600 /month",3 hours,,
Chamber n Hall at Haatso,"Beds: 1, Baths: 2",MEMBER,"Accra, Apartments",GH₵ 700 /month,".top-ad-badge_svg__st1,.top-ad-badge_svg__st2,.top-ad-badge_svg__st8{fill-rule:evenodd;clip-rule:evenodd;fill:#4780b2}.top-ad-badge_svg__st2,.top-ad-badge_svg__st8{fill:#3b566e}.top-ad-badge_svg__st8{fill:#666}.top-ad-badge_svg__st9{opacity:.12}", ,TOP AD
Newly build two bedrooms apartment at kwabenya.,"Beds: 2, Baths: 2",MEMBER,"Accra, Apartments",GH₵ 900 /month,".top-ad-badge_svg__st1,.top-ad-badge_svg__st2,.top-ad-badge_svg__st8{fill-rule:evenodd;clip-rule:evenodd;fill:#4780b2}.top-ad-badge_svg__st2,.top-ad-badge_svg__st8{fill:#3b566e}.top-ad-badge_svg__st8{fill:#666}.top-ad-badge_svg__st9{opacity:.12}", ,TOP AD
Decorous wall single room selfcontain for rent in Spintex,"Beds: 1, Baths: 1",MEMBER,"Accra, Apartments",GH₵ 360 /month,3 hours,,
Fantastic wall n gated chamba Hal selfcontain for rent in Spintex p,"Beds: 1, Baths: 1",MEMBER,"Accra, Apartments",GH₵ 350 /month,3 hours,,
gated single room selfcontain wit additional porch for rent in spintex,"Beds: 1, Baths: 1",MEMBER,"Accra, Apartments",GH₵ 500 /month,3 hours,,
EXC 3 BEDROOM HOUSE @ EAST LEGON,"Beds: 3, Baths: 3",MEMBER,"Accra, Apartments","GH₵ 3,000 /month",11 hours,,
Furnished Single Room S/C Apartment for Rent at Oyibi.,"Beds: 1, Baths: 1",MEMBER,"Greater Accra, Apartments",GH₵ 500 /month,11 hours,,
Single Room S/C Apartment for Rent at Haatso.,"Beds: 1, Baths: 1",MEMBER,"Accra, Apartments",GH₵ 250 /month,11 hours,,
Executive Chamber And A Hall Self Contain For Rent At Nyamekye,"Beds: 1, Baths: 1",MEMBER,"Accra, Apartments",GH₵ 750 /month,11 hours,,
3 Bedrooms Apartment For Rent At Lapaz Race Course,"Beds: 3, Baths: 2",MEMBER,"Accra, Apartments",GH₵ 750 /month,12 hours,,
Executive newly 2bed self contain @ Obeyeyie,"Beds: 2, Baths: 3",MEMBER,"Accra, Apartments",GH₵ 800 /month,12 hours,,
Renting 2bedroom house@Spintex Lashibi,"Beds: 2, Baths: 3",MEMBER,"Accra, Apartments","GH₵ 1,800 /month",13 hours,,
"3 BEDROOMS APARTMENT FOR RENT AT ODOKOR(REG=GHC50, COMM=10%)","Beds: 3, Baths: 4",MEMBER,"Accra, Apartments","GH₵ 1,500 /month",13 hours,,
executive 3 bedroos Apartment for rent at lakeside estate,"Beds: 3, Baths: 3",MEMBER,"Accra, Apartments","GH₵ 1,300 /month",14 hours,,
2 BEDROOM FURNISHED APT @ACHIMOTA KINGSBY 4 RENT,"Beds: 2, Baths: 1",MEMBER,"Accra, Apartments","GH₵ 2,000 /month",14 hours,,
Three bed room fully furnished flat at Daban-New site for rent,"Beds: 3, Baths: 3",MEMBER,"Kumasi, Apartments","GH₵ 6,990 /month",14 hours,,
EXEC 2 BEDROOM APT AT KOTOBABI FOR RENT,"Beds: 2, Baths: 1",MEMBER,"Accra, Apartments",GH₵ 800 /month,14 hours,,
Fresh beautiful 2bedrooms self contain for rent@West hills Mall,"Beds: 2, Baths: 2",MEMBER,"Accra, Apartments",GH₵ 750 /month,14 hours,,
EXEC 3 BEDROOM AT EAST LEGON FOR SALE,"Beds: 3, Baths: 4",MEMBER,"Accra, Apartments","GH₵ 754,000 /month",14 hours,,
Chamber and hall self-contain apartment at Awoshie Agape,"Beds: 1, Baths: 1","Accra, Apartments",GH₵ 450 /month,14 hours,,,
Newly built chamber and hall self contain for rent at dome pillar2,"Beds: 1, Baths: 1",MEMBER,"Accra, Apartments",GH₵ 900 /month,14 hours,,
EXEC 2BEDROOM APT AT MALLAM GBAWE FOR RENT,"Beds: 2, Baths: 1",MEMBER,"Accra, Apartments","GH₵ 1,000 /month",14 hours,,
1YEAR)CHAMBER AND HALL SELF-CONTAINED APARTMENT FOR RENT @MADINA,"Beds: 1, Baths: 1",MEMBER,"Accra, Apartments",GH₵ 500 /month,14 hours,,
EXECUTIVE SINGLE ROOM SELF-CONTAINED FOR RENT AT MADINA,"Beds: 1, Baths: 1",MEMBER,"Accra, Apartments",GH₵ 400 /month,14 hours,,
chamber and hall self contain for rent in dzorwulu,"Beds: 1, Baths: 1","Accra, Apartments",GH₵ 500 /month,15 hours,,,
Executive New 2 Bedroom Apartment at Oyarifa,"Beds: 2, Baths: 3",MEMBER,"Accra, Apartments","GH₵ 1,300 /month",15 hours,,
