0,1,2,3,4,5,6,7
Selling this 4bedroom house@ East Legon,"Beds: 5, Baths: 4",MEMBER,"Accra, Houses","GH₵ 1,995,000",".top-ad-badge_svg__st1,.top-ad-badge_svg__st2,.top-ad-badge_svg__st8{fill-rule:evenodd;clip-rule:evenodd;fill:#4780b2}.top-ad-badge_svg__st2,.top-ad-badge_svg__st8{fill:#3b566e}.top-ad-badge_svg__st8{fill:#666}.top-ad-badge_svg__st9{opacity:.12}", ,TOP AD
House for sale Ashongman Estate,"Beds: 3, Baths: 3","Accra, Houses","GH₵ 380,000",".top-ad-badge_svg__st1,.top-ad-badge_svg__st2,.top-ad-badge_svg__st8{fill-rule:evenodd;clip-rule:evenodd;fill:#4780b2}.top-ad-badge_svg__st2,.top-ad-badge_svg__st8{fill:#3b566e}.top-ad-badge_svg__st8{fill:#666}.top-ad-badge_svg__st9{opacity:.12}", ,TOP AD,
NEWLY 3 BEDROOM HOUSE FOR SALE EAST LEGON,"Beds: 3, Baths: 4",MEMBER,"Accra, Houses","GH₵ 1,044,000",10 minutes,,
Uncompleted 3 bedroom 2 flats for sale West Anaji,"Beds: 6, Baths: 4",MEMBER,"Sekondi Takoradi, Houses","GH₵ 130,000",21 minutes,,
ultra modern 4bedrooms self house for sale at oyarifa,"Beds: 4, Baths: 5",MEMBER,"Accra, Houses","GH₵ 1,140,000",40 minutes,,
ultra modern 4bedrooms self house for sale at east legon American,"Beds: 4, Baths: 5",MEMBER,"Accra, Houses","GH₵ 1,995,000",1 hour,,
Executive 3 Bedrooms For Sale By The Landlord,"Beds: 3, Baths: 4",MEMBER,"Accra, Houses","GH₵ 580,000",,,
4bedroom Morden Architectural Design For Sale At Cantonments,"Beds: 4, Baths: 5",MEMBER,"Accra, Houses","GH₵ 4,300,000",7 hours,,
NEWLY BUILT 3 BEDROOMS SELF COMPOUND FOR SALE AT LAKESIDE ESTATE COMM. 5,"Beds: 3, Baths: 4",MEMBER,"Accra, Houses","GH₵ 860,000",11 hours,,
4 Bedrooms House For Sale At Achimota,"Beds: 4, Baths: 4",MEMBER,"Accra, Houses","GH₵ 2,052,000",11 hours,,
Special 3bedroom self compound @East Legon Hills,"Beds: 3, Baths: 4",MEMBER,"Accra, Houses","GH₵ 650,000",11 hours,,
"3 BEDROOMS HOUSE FOR SALE AT KASOA(REG=GHC100, COMM =5%)","Beds: 3, Baths: 3",MEMBER,"Accra, Houses","GH₵ 300,000",12 hours,,
"3 BRMS HOUSE WITH SWIM POOL FOR SALE SAT KASOA(REG=GHC100, COMM =5%)","Beds: 3, Baths: 3",MEMBER,"Accra, Houses","GH₵ 350,000",12 hours,,
Selling 3 bedroom house@Labone Apapa,"Beds: 3, Baths: 4",MEMBER,"Accra, Houses","GH₵ 1,710,000",12 hours,,
Selling 4 bedroom house@Ashaley Botwe Lakeside,"Beds: 4, Baths: 5",MEMBER,"Accra, Houses","GH₵ 855,000",12 hours,,
Selling 5 bedroom house@West Adenta,"Beds: 5, Baths: 6",MEMBER,"Accra, Houses","GH₵ 570,000",12 hours,,
Neat five bedrooms house for rent at Taifa.,"Beds: 5, Baths: 3",MEMBER,"Accra, Houses","GH₵ 1,600",12 hours,,
Selling 4 bedroom house@Kpone Katamanso,"Beds: 4, Baths: 5",MEMBER,"Greater Accra, Houses","GH₵ 1,710,000",12 hours,,
EXEC 3 BEDROOM HOUSE AT EAST DZORWULU FOR SALE,"Beds: 3, Baths: 3",MEMBER,"Accra, Houses","GH₵ 1,624,000",14 hours,,
Affordable uncompleted house in Kumasi,"Beds: 4, Baths: 3",MEMBER,"Kumasi, Houses","GH₵ 50,000",14 hours,,
EXEC 4 BEDROOM + BQTERS AT EAST LEGON FOR SALE,"Beds: 4, Baths: 4",MEMBER,"Accra, Houses","GH₵ 2,204,000",14 hours,,
