0,1,2,3,4,5
Executive Single room for rent Dome,"Accra, Rooms",GH₵ 200 /month,".top-ad-badge_svg__st1,.top-ad-badge_svg__st2,.top-ad-badge_svg__st8{fill-rule:evenodd;clip-rule:evenodd;fill:#4780b2}.top-ad-badge_svg__st2,.top-ad-badge_svg__st8{fill:#3b566e}.top-ad-badge_svg__st8{fill:#666}.top-ad-badge_svg__st9{opacity:.12}", ,TOP AD
Single Room Wooden Structure (Kiosk) for rent @ Tema Industrial Area,"Greater Accra, Rooms",GH₵ 60 /month,19 hours,,
single room with pouch at taifa noway,MEMBER,"Accra, Rooms",GH₵ 150 /month,20 hours,
Single room with bath for rent at Teshie,MEMBER,"Accra, Rooms",GH₵ 120 /month,2 days,
Executive Single room for rent Dome,"Accra, Rooms",GH₵ 200 /month,2 days,,
single room@taifa,MEMBER,"Accra, Rooms",GH₵ 150 /month,2 days,
Room available for rent at Ayeduase,"Kumasi, Rooms",GH₵ 150 /month,2 days,,
Single room at limex quarry buokrom estate for rent,"Kumasi, Rooms",GH₵ 85 /month,3 days,,
Single room with corridor for rent at Teshie,MEMBER,"Accra, Rooms",GH₵ 100 /month,3 days,
Single room with porch and bath@Spot M,MEMBER,"Greater Accra, Rooms",GH₵ 150 /month,4 days,
Single Room With Porch For Rent At Tettegu,MEMBER,"Greater Accra, Rooms",GH₵ 120 /month,6 days,
dohnaayili(changli) Tamale Room,"Northern, Rooms",GH₵ 120 /month,6 days,,
Single room with porch @tantra hill,MEMBER,"Greater Accra, Rooms",GH₵ 100 /month,6 days,
Single room with porch @tantra hill,MEMBER,"Greater Accra, Rooms",GH₵ 120 /month,6 days,
Chamber and Hall for rent @ Kuntanase Bosomtwe District,"Ashanti, Rooms",GH₵ 120 /month,6 days,,
1 room+porch@Taifa,"Accra, Rooms",GH₵ 120 /month,7 days,,
Single room with porch @Ofankor 7days,MEMBER,"Greater Accra, Rooms",GH₵ 120 /month,7 days,
Single Room @ 3 MP ROAD,"Accra, Rooms",GH₵ 250 /month,8 days,,
BIG SINGLE RM@ MADINA NEW ROAD RAWLINGS CIRCLE,MEMBER,"Accra, Rooms",GH₵ 170 /month,8 days,
tiled chamber and hall with porch at antieku,MEMBER,"Accra, Rooms",GH₵ 200 /month,8 days,
Spacious Single Room at Adenta,"Accra, Rooms",GH₵ 150 /month,9 days,,
chamber and hall ordinary at antieku 1year,MEMBER,"Accra, Rooms",GH₵ 150 /month,9 days,
single room with porch at lapaz racecourse,MEMBER,"Accra, Rooms",GH₵ 130 /month,9 days,
1YR. SINGLE ROOM PLUS COVERD PORCH FOR RENT@ MADINA WELFARE NEW MARKET,MEMBER,"Accra, Rooms",GH₵ 150 /month,9 days,
single self contain at Kwabeya,MEMBER,"Accra, Rooms",GH₵ 200 /month,10 days,
Premium Heights Two Bedrooms For Rent At Adenta,"Accra, Rooms",GH₵ 750 /month,10 days,,
Executive Single room for rent Dome,"Accra, Rooms",GH₵ 200 /month,".top-ad-badge_svg__st1,.top-ad-badge_svg__st2,.top-ad-badge_svg__st8{fill-rule:evenodd;clip-rule:evenodd;fill:#4780b2}.top-ad-badge_svg__st2,.top-ad-badge_svg__st8{fill:#3b566e}.top-ad-badge_svg__st8{fill:#666}.top-ad-badge_svg__st9{opacity:.12}", ,TOP AD
SPACIOUS SINGLEROOM WITH PORCH FOR RENT@SPINTEX,MEMBER,"Accra, Rooms",GH₵ 180 /month,12 days,
Hot Cake!! Fully Furnished Room @ Haatso,MEMBER,"Accra, Rooms","GH₵ 1,000 /month",15 days,
Single Room with porch Awoshie,"Accra, Rooms",GH₵ 110 /month,15 days,,
nice single room self contain at Agege 205,MEMBER,"Accra, Rooms",GH₵ 260 /month,15 days,
single room@taifa,MEMBER,"Accra, Rooms",GH₵ 150 /month,16 days,
Single room with Porch at Atimatim-Taabuom for rent,MEMBER,"Kumasi, Rooms",GH₵ 70 /month,16 days,
Single room at Atimatim for rent,MEMBER,"Kumasi, Rooms",GH₵ 70 /month,17 days,
Single Room with Porch at McCharthy Hill,"Accra, Rooms",GH₵ 160 /month,17 days,,
Single room with kitchen and porch at Odumase,"Accra, Rooms",GH₵ 150 /month,17 days,,
single room porch in Awoshie Ablekuma,MEMBER,"Accra, Rooms",GH₵ 130 /month,18 days,
Single room with porch and bath for rent Dome,"Accra, Rooms",GH₵ 150 /month,21 days,,
Chamber and hall with bath @Abeka,"Accra, Rooms",GH₵ 270 /month,22 days,,
SINGLE ROOM PLUS COVERD PORCH@ MADINA NEW ROAD DELA JUNCTION,MEMBER,"Accra, Rooms",GH₵ 150 /month,23 days,
ROOM FOR RENT IN TAKORADI,"Western, Rooms",GH₵ 100 /month,24 days,,
tiled single room with kitchen near Lemma hospital,MEMBER,"Accra, Rooms",GH₵ 180 /month,24 days,
SINGLE ROOM FOR RENT@ MADINA WELFARE DOWN,MEMBER,"Accra, Rooms",GH₵ 100 /month,25 days,
SINGLE ROOM FOR RENT @ MADINA SOCIAL WELFARE,MEMBER,"Accra, Rooms",GH₵ 150 /month,25 days,
Nice Chamber and hall for rent at Spintex.,MEMBER,"Accra, Rooms",GH₵ 500 /month,26 days,
Single room with porch and bathroom for rent,"Kumasi, Rooms",GH₵ 60 /month,27 days,,
SINGLE ROOM FOR RENT@ MADINA RAWLINGS CIRCLE CLOSE TO DELA JUNCTION,MEMBER,"Accra, Rooms",GH₵ 120 /month,27 days,
1YR SINGLE ROOM@ MADINA NEW ROAD RAWLINGS CIRCLE,MEMBER,"Accra, Rooms",GH₵ 100 /month,28 days,
TILED SINGLE ROOM IZ FOR RENT@ MADINA WELFARE MUNICIPAL,MEMBER,"Accra, Rooms",GH₵ 100 /month,29 days,
Spacious Ch&hall Self Contain @ Nungua Bottles,MEMBER,"Accra, Rooms",GH₵ 450 /month,29 days,
CUTE SINGLE ROOM PLUS COVERD PORCH @MADINA SOCIAL WELFARE,MEMBER,"Accra, Rooms",GH₵ 100 /month,31 days,
single room dome,MEMBER,"Accra, Rooms",GH₵ 70 /month,32 days,
Executive Single room for rent Dome,"Accra, Rooms",GH₵ 200 /month,".top-ad-badge_svg__st1,.top-ad-badge_svg__st2,.top-ad-badge_svg__st8{fill-rule:evenodd;clip-rule:evenodd;fill:#4780b2}.top-ad-badge_svg__st2,.top-ad-badge_svg__st8{fill:#3b566e}.top-ad-badge_svg__st8{fill:#666}.top-ad-badge_svg__st9{opacity:.12}", ,TOP AD
single room with pouch Taifa,MEMBER,"Accra, Rooms",GH₵ 120 /month,32 days,
An executive fully furnished one bedroom for rent.,MEMBER,"Accra, Rooms","GH₵ 5,700 /month",33 days,
LARGE SINGLE ROOM PLUS KICTHEN @MADINA TAXI RANK,MEMBER,"Accra, Rooms",GH₵ 150 /month,33 days,
A Hall And Chamber For Rents At Spintex,"Accra, Rooms",GH₵ 400 /month,33 days,,
NICE SINGLE ROOM IZ READY FOR RENT @ MADINA YELLOW SIGNBOARD,MEMBER,"Accra, Rooms",GH₵ 100 /month,33 days,
single room with porch at lapas racecourse,MEMBER,"Accra, Rooms",GH₵ 110 /month,35 days,
single room with porch at lapaz racecourse,MEMBER,"Accra, Rooms",GH₵ 120 /month,36 days,
single room ordinary at sowutuom chopbar 1year,MEMBER,"Accra, Rooms",GH₵ 120 /month,37 days,
Non-self contained singles rooms for rent at Acquarium,"Central, Rooms",GH₵ 120 /month,37 days,,
tiled chamber and hall with porch at santamaria antieku,MEMBER,"Accra, Rooms",GH₵ 200 /month,37 days,
Chamber and Hall at Breman,"Kumasi, Rooms",GH₵ 200 /month,38 days,,
Exclusive single room wit porch 4rent Spintex 1year,MEMBER,"Accra, Rooms",GH₵ 200 /month,38 days,
Single room with Porch at Abuakwa-Maakro for rent,MEMBER,"Kumasi, Rooms",GH₵ 85 /month,38 days,
chamber and hall with porch at santamaria antieku 1year,MEMBER,"Accra, Rooms",GH₵ 180 /month,39 days,
Single room with porch @Ofankor Barrier,MEMBER,"Greater Accra, Rooms",GH₵ 100 /month,39 days,
Single room with kitchen @ Ofankor barrier,MEMBER,"Greater Accra, Rooms",GH₵ 130 /month,39 days,
a nice single room in tantra hill for rent,MEMBER,"Accra, Rooms",GH₵ 200 /month,42 days,
NORMAL SINGLE ROOM @ MADINA RAWLINGS CIRCLE,MEMBER,"Accra, Rooms",GH₵ 90 /month,42 days,
ICONIC 2 BEDROOMS AT HAATSO,MEMBER,"Accra, Rooms","GH₵ 1,100 /month",42 days,
NORMAL SINGLE FOR RENT @ MADINA NEW ROAD RAWLINGS CIRCLE,MEMBER,"Accra, Rooms",GH₵ 100 /month,43 days,
TILED SINGLE ROOM PLUS KITCHEN@ BOTWE AVIATION LANE,MEMBER,"Accra, Rooms",GH₵ 170 /month,43 days,
Ordinary Single room@ Santa Maria/Auntie Aku,MEMBER,"Accra, Rooms",GH₵ 200 /month,43 days,
SINGLE ROOM COVERD PORCH.KITCHEN AT MADINA,MEMBER,"Accra, Rooms",GH₵ 180 /month,45 days,
Single Room With Porch For Rent At Tettegu,"Accra, Rooms",GH₵ 150 /month,45 days,,
Chamber And Hall Self Contain For Rent At Tettegu,"Accra, Rooms",GH₵ 350 /month,45 days,,
Executive Single room for rent Dome,"Accra, Rooms",GH₵ 200 /month,".top-ad-badge_svg__st1,.top-ad-badge_svg__st2,.top-ad-badge_svg__st8{fill-rule:evenodd;clip-rule:evenodd;fill:#4780b2}.top-ad-badge_svg__st2,.top-ad-badge_svg__st8{fill:#3b566e}.top-ad-badge_svg__st8{fill:#666}.top-ad-badge_svg__st9{opacity:.12}", ,TOP AD
LARGE SINGLE ROOM FOR RENT@ ASHALEY BOTWE AVIATION LANE,MEMBER,"Accra, Rooms",GH₵ 150 /month,46 days,
SINGLE ROOM FOR RENT @ MADINA NEW MARKET,MEMBER,"Accra, Rooms",GH₵ 90 /month,46 days,
single room for rent @ Pokuase,"Accra, Rooms",GH₵ 150 /month,47 days,,
Chamber And Hall With Porch,"Accra, Rooms",GH₵ 200 /month,47 days,,
Executive chamber and Hall For Rent At Osu,MEMBER,"Accra, Rooms","GH₵ 1,539 /month",47 days,
Chamber And Hall For Rent At Tettegu,"Accra, Rooms",GH₵ 250 /month,47 days,,
Tiled Single room plus kitchen around ahaley botwe,MEMBER,"Accra, Rooms",GH₵ 150 /month,48 days,
Nice and big with poch Kasoa,"Accra, Rooms",GH₵ 60 /month,49 days,,
chamber n hall Barth in Awoshie Ablekuma,MEMBER,"Accra, Rooms",GH₵ 220 /month,49 days,
Single room with Porch at Atimatim for rent,MEMBER,"Kumasi, Rooms",GH₵ 84 /month,50 days,
chamber n hall porch in Awoshie Ablekuma,MEMBER,"Accra, Rooms",GH₵ 190 /month,51 days,
SINGLE ROOM PLUS COVERD PORCH @ MADINA YELLOW SIGNBOARD,MEMBER,"Accra, Rooms",GH₵ 150 /month,52 days,
SINGLE ROOM WITH PORCH FOR RENT@NUNGUA BUADE,MEMBER,"Accra, Rooms",GH₵ 150 /month,53 days,
Single room for rent Ablekuma Vicolis,"Accra, Rooms",GH₵ 200 /month,54 days,,
Single room with porch for Rent at Tetegu,"Accra, Rooms",GH₵ 150 /month,55 days,,
NORMAL LARGE SINGLE ROOM@ MADINA THIRD GATE,MEMBER,"Accra, Rooms",GH₵ 120 /month,55 days,
SINGLE ROOM WITH COVERED PORCH@ MADI A SOCIAL WELFARE,MEMBER,"Accra, Rooms",GH₵ 170 /month,56 days,
Single Room located at Tech Maxima,"Kumasi, Rooms",GH₵ 200 /month,57 days,,
single room Tse Addo last stop,"Accra, Rooms",GH₵ 300 /month,57 days,,
LARGE SINGLE ROOM FOR RENT @ MADINA SOCIAL WELFARE,MEMBER,"Accra, Rooms",GH₵ 120 /month,57 days,
SINGLE ROOM WITH COVERD PORCH @ MADINA NEW MARKET,MEMBER,"Accra, Rooms",GH₵ 150 /month,58 days,
single room with kitchen at santamaria antieku,MEMBER,"Accra, Rooms",GH₵ 75 /month,58 days,
single room with porch at lapaz racecourse,MEMBER,"Accra, Rooms",GH₵ 150 /month,58 days,
single room ordinary at santamaria antieku,MEMBER,"Accra, Rooms",GH₵ 120 /month,58 days,
gated single room wit big porch spintex,MEMBER,"Accra, Rooms",GH₵ 170 /month,58 days,
