0,1,2,3,4,5
"ONE BEDROOM, FULLY AIRCONDITIONED APARTMENT @ Teshie Bush Road","Beds: 1, Baths: 1","Accra, Short Term Rentals",GH₵ 180 /night,20 hours,
Conference Room For Rent 35 Garden Street Close To AnC Mall,"Beds: 1, Baths: 1","Accra, Short Term Rentals",GH₵ 500 /night,3 days,
"Short Stay @ Passion Fruit Avenue, Next To Lakeside business Cent","Beds: 1, Baths: 1","Accra, Short Term Rentals",GH₵ 100 /night,7 days,
Short stay furnished room for rent @ Pokuase Amanfrom,"Beds: 1, Baths: 1","Accra, Short Term Rentals","GH₵ 1,300 /night",7 days,
Special fully🌷 furnished 1bedroom @ East Legon,"Beds: 1, Baths: 2",MEMBER,"Accra, Short Term Rentals",GH₵ 500 /night,8 days
Spintex - Furnished Room for Rent,"Beds: 1, Baths: 1","Accra, Short Term Rentals","GH₵ 1,900 /night",9 days,
single room furnished selfcontain Mccarthy Hills,"Beds: 1, Baths: 1","Accra, Short Term Rentals",GH₵ 70 /night,15 days,
Room for short and long stay Greda estate,"Beds: 1, Baths: 1",MEMBER,"Accra, Short Term Rentals",GH₵ 120 /night,16 days
Furnished Ensuite Rooms For Short Stay,"Beds: 4, Baths: 4","Accra, Short Term Rentals",GH₵ 50 /night,19 days,
Executive House For Short Stay Rentals at Tantra Hills,"Beds: 2, Baths: 2",MEMBER,"Accra, Short Term Rentals",GH₵ 600 /night,25 days
Scaffold,"Beds: 2, Baths: 2","Accra, Short Term Rentals",GH₵ 50 /night,27 days,
fully furnished 2bedroom rent @Airport,"Beds: 2, Baths: 3",MEMBER,"Accra, Short Term Rentals","GH₵ 2,550 /night",33 days
Respect the men furnished 2bed@Airport,"Beds: 2, Baths: 3",MEMBER,"Accra, Short Term Rentals","GH₵ 2,550 /night",33 days
Airport road 3 bedroom furnished for rent,"Beds: 3, Baths: 4",MEMBER,"Accra, Short Term Rentals","GH₵ 5,200 /night",33 days
diplomatic 3bed fully furnished @Airport,"Beds: 3, Baths: 4",MEMBER,"Accra, Short Term Rentals","GH₵ 5,200 /night",33 days
Furnished 2 Bedrm Apartment at Dzowulu,"Beds: 2, Baths: 2",MEMBER,"Accra, Short Term Rentals",GH₵ 550 /night,36 days
pay 1week 4🦜bedroom self compound @ Achimota,"Beds: 4, Baths: 5",MEMBER,"Accra, Short Term Rentals","GH₵ 1,700 /night",37 days
pay one week 4bed self compound @Achimota mall,"Beds: 4, Baths: 5",MEMBER,"Accra, Short Term Rentals","GH₵ 1,700 /night",37 days
night 3bedroom rent @East Legon Hills,"Beds: 3, Baths: 4",MEMBER,"Accra, Short Term Rentals",GH₵ 600 /night,40 days
Room for short stay at Teshie,"Beds: 1, Baths: 1",MEMBER,"Accra, Short Term Rentals",GH₵ 60 /night,40 days
full furnished night 2bed@East Legon Hills,"Beds: 2, Baths: 3",MEMBER,"Accra, Short Term Rentals",GH₵ 450 /night,40 days
"Luxury 2 bedrooms for rent at Adjiringanor, east legon","Beds: 2, Baths: 2",MEMBER,"Accra, Short Term Rentals",GH₵ 550 /night,45 days
2 bed 🌸full 🌸furnished 🌺 school junction,"Beds: 2, Baths: 3",MEMBER,"Accra, Short Term Rentals",GH₵ 500 /night,49 days
very big oneroom /hall @School junction,"Beds: 1, Baths: 2",MEMBER,"Accra, Short Term Rentals",GH₵ 500 /night,49 days
Modern Designer 1 Bedroom Apartment,"Beds: 1, Baths: 2","Accra, Short Term Rentals",GH₵ 450 /night,51 days,
